ftime(hr)    y01   DS02   LG02   HWFI   AVNI   VMXC   DV12   SLAT   SSTN   SHDC   DTL 
  12        -4.2    7.8   10.8   -8.2  -10.2   69.2   20.0   28.4   28.8   19.9  644.0
  12       -14.0    4.0    6.0   -7.0   -3.0   69.0   15.0   30.3   28.2   17.6  574.3
  12       -11.0    1.0    1.0   -1.0   -1.0   61.0   -5.0   32.0   27.7   20.3  483.3
  12       -11.8    2.2    0.2   -0.8   -1.8   56.8   -5.0   34.1   27.4   25.8  413.0
  12        -3.2   -0.2   -3.2   -1.2    4.8   48.2  -15.0   35.6   27.3   35.3  416.0
  12        -0.5    0.5   -5.5    0.5    4.5   45.5  -15.0   36.9   27.1   42.1  458.3
  12        -3.5    0.5   -2.5    3.5   -1.5   48.5    0.0   38.2   27.0   49.5  482.0
  12         8.2   -0.8   -2.8    6.2   -2.8   31.8   -5.0   22.6   29.2   11.9  281.7
  12        11.8    0.8   -1.2    4.8   -4.2   33.2    0.0   23.1   29.2   11.4  310.7
  12         0.0    0.0    2.0    4.0   -6.0   45.0   10.0   23.8   29.3   12.1  387.0
  12        -1.5    1.5    1.5    3.5   -6.5   46.5   10.0   24.5   29.3   12.8  462.3
  12         7.0   -1.0   -2.0    5.0   -2.0   43.0    0.0   25.0   29.3   17.6  513.3
  12         0.5    1.5   -0.5    0.5   -1.5   49.5    5.0   24.8   29.3   20.4  504.3
  12         9.0    3.0    2.0   -3.0   -2.0   56.0   10.0   25.4   29.4   16.6  577.7
  12         8.5    0.5   -0.5    0.5   -0.5   56.5    5.0   25.8   29.4   16.6  630.3
  12        -8.0    0.0    4.0    0.0   -4.0   73.0   15.0   26.0   29.3   17.5  685.3
  12        -6.2    4.8    6.8   -7.2   -4.2   71.2   15.0   26.6   29.2   14.5  736.7
  12         2.0    3.0    1.0   -3.0   -1.0   68.0    0.0   28.0   29.1   11.9  789.3
  12         1.5    3.5    0.5   -2.5   -1.5   68.5    0.0   29.4   28.8    4.6  782.0
  12        -2.8    5.2    3.2   -6.8   -1.8   72.8    5.0   30.9   28.4    7.0  660.3
  12        -5.8    2.2    2.2   -3.8   -0.8   70.8    5.0   31.6   27.7    6.5  590.3
  12        -4.2    0.8    0.8   -2.2    0.8   69.2    0.0   32.8   27.4    7.8  520.7
  12         0.0    1.0   -1.0   -1.0    1.0   65.0   -5.0   33.3   27.3    6.8  552.3
  12         1.5   -0.5   -1.5    2.5   -0.5   68.5   -5.0   34.8   27.2    8.5  623.7
  12         5.2   -1.8   -0.8    3.2   -0.8   69.8    0.0   36.3   27.1   12.8  657.3
  12         6.0   -1.0    0.0    3.0   -2.0   69.0    0.0   38.1   26.6   23.8  617.7
  12        -5.0   -3.0   -1.0    3.0    1.0   75.0    5.0   39.4   25.6   28.7  654.7
  12        19.0   -2.0   -1.0    2.0    1.0   26.0    0.0   21.1   30.2   19.1  242.0
  12        -3.5   -0.5    2.5   -0.5   -1.5   43.5   10.0   22.7   30.4   17.1  255.7
  12        -6.2    2.8    5.8   -5.2   -3.2   46.2   10.0   23.6   30.2   16.8  143.0
  12        -5.2   -3.2   -3.2    4.8    1.8   40.2    0.0   22.3   29.5   16.3   35.0
  12         0.2    1.2    0.2    0.2   -1.8   34.8    5.0   17.3   26.6    9.5 2008.7
  12        -0.8    1.2   -0.8   -0.8    0.2   40.8    5.0   17.6   26.7   11.3 1950.0
  12        -1.2   -1.2   -2.2    1.8    1.8   41.2    5.0   17.8   27.0   14.0 1817.7
  12        -6.0    0.0   -1.0   -1.0    2.0   46.0    5.0   18.7   27.1   17.4 1827.7
  12        -0.8    0.2   -1.8   -0.8    2.2   45.8    5.0   19.8   27.4   17.1 1855.7
  12         1.8    0.8   -1.2   -0.2    0.8   43.2    0.0   20.0   27.5   14.2 1815.0
  12         1.2    1.2    0.2    0.2   -1.8   48.8    5.0   21.0   27.9   15.9 1864.7
  12         5.5    2.5    0.5   -1.5   -1.5   49.5    5.0   22.1   28.0   16.1 1904.7
  12         3.0    2.0    0.0   -6.0    4.0   57.0    5.0   23.0   28.2   11.3 1903.3
  12         7.5    3.5    3.5   -6.5   -0.5   62.5   10.0   23.7   28.6   11.1 1835.7
  12         9.0    5.0    5.0   -7.0   -3.0   66.0   10.0   24.3   28.7   11.1 1736.0
  12         0.8    2.8    4.8   -4.2   -3.2   79.2   15.0   25.1   29.1   11.1 1678.0
  12         3.0    5.0    7.0   -4.0   -8.0   82.0   15.0   25.8   29.5   11.3 1585.0
  12         6.8    1.8    0.8   -0.2   -2.2   83.2    5.0   26.5   29.6   11.9 1532.7
  12        -0.5    3.5    5.5   -4.5   -4.5   95.5   15.0   27.2   29.2   11.7 1487.3
  12         3.2    4.2    6.2   -5.8   -4.8   91.8   15.0   27.8   29.1   15.4 1462.3
  12         6.8    2.8    2.8   -4.2   -1.2   93.2    5.0   28.6   28.8   14.5 1475.7
